artist_name,genres
Sarah Chen,mandopop
Justin Lo,cantopop
蔡振南,mandopop
蔡振南,hokkien pop
Tsai Chin,mandopop
Tsai Chin,taiwan campus folk
Tsai Chin,chinese audiophile
黃小琥,mandopop
Zhang Qing Fang,mandopop
林淑容,mandopop
Sammi Cheng,mandopop
Sammi Cheng,cantopop
Tracy Huang,mandopop
Fei Yu-ching,mandopop
CoCo Lee,mandopop
Alex To,mandopop
Yida Huang,mandopop
Loud Luxury,edm
Loud Luxury,pop
Zedd,edm
Zedd,pop
Zedd,complextro
Billie Eilish,pop
Selena Gomez,post-pop
Selena Gomez,pop
Y2K,rap
The Game,hip hop
The Game,rap
Dua Lipa,pop
Johnning,edm
Halsey,indie
Halsey,pop
Lauv,pop
Ant Saunders,r&b
DVBBS,edm
DVBBS,pop
DVBBS,canadian electronic
blackbear,pop
blackbear,alt z
Flux Pavilion,complextro
Flux Pavilion,edm
Snoop Dogg,hip hop
Snoop Dogg,rap
Snoop Dogg,g funk
Sam Feldt,edm
Sam Feldt,pop
Megan Thee Stallion,hip hop
Megan Thee Stallion,pop
Megan Thee Stallion,rap
Cheat Codes,edm
Cheat Codes,pop
Clean Bandit,uk dance
Clean Bandit,uk funky
Clean Bandit,pop
J Balvin,hip hop
J Balvin,reggae
J Balvin,urbano latino
DJ Snake,edm
DJ Snake,hip hop
DJ Snake,pop
SIX60,reggae
SIX60,pop
Peking Duk,australian pop
Peking Duk,edm
Peking Duk,indie
Peking Duk,aussietronica
"Tyler, The Creator",rap
"Tyler, The Creator",hip hop
Nicole Millar,pop
M.I.A.,indie
M.I.A.,new rave
M.I.A.,escape room
DJ Katch,basshall
Wale,hip hop
Wale,r&b
Wale,rap
HAIM,pop
HAIM,indie
BROODS,indie
BROODS,pop
Lucy Rose,british singer-songwriter
Lucy Rose,ambient folk
Vicetone,edm
Vicetone,pop
Morgan Sulele,russelater
Morgan Sulele,pop
Syn Cole,deep edm
Syn Cole,edm
Syn Cole,pop
Rascal Flatts,country
Rascal Flatts,country road
Rascal Flatts,contemporary country
Shania Twain,contemporary country
Shania Twain,country
Shania Twain,country dawn
Shania Twain,pop
Shania Twain,canadian country
N.E.R.D,hip hop
Arizona Zervas,rap
Arizona Zervas,indie
Roddy Ricch,hip hop
Roddy Ricch,rap
Mac Miller,rap
Mac Miller,hip hop
Labrinth,pop
Labrinth,indie
Shakira,pop
Tones And I,pop
Rita Ora,pop
Gotye,pop
BROCKHAMPTON,rap
BROCKHAMPTON,boy band
CÄHN,sami
PARTYNEXTDOOR,rap
PARTYNEXTDOOR,urban contemporary
PARTYNEXTDOOR,r&b
Bazzi,pop
Ava Max,pop
Marshmello,edm
Marshmello,pop
Lady Gaga,pop
Youngn Lipz,aussie drill
Fabolous,hip hop
Fabolous,rap
Fabolous,urban contemporary
B Young,hip hop
B Young,rap
B Young,afroswing
Future,hip hop
Future,rap
Flipp Dinero,hip hop
Flipp Dinero,rap
H.E.R.,rap
H.E.R.,r&b
Russ,rap
Russ,hip hop
Eminem,rap
Eminem,hip hop
Meek Mill,hip hop
Meek Mill,rap
Ray J,urban contemporary
Ray J,rap
Drake,hip hop
Drake,rap
Drake,pop
DaniLeigh,rap
DaniLeigh,r&b
Conan Gray,indie
Conan Gray,pop
Noah Cyrus,pop
Noah Cyrus,alt z
Jorja Smith,r&b
Alex Skrindo,edm
Rebecca Leonard,background piano
Patrizio Pisani,background piano
SAINt JHN,rap
SAINt JHN,edm
Brantley Gilbert,country
Brantley Gilbert,country road
Brantley Gilbert,rock
Brantley Gilbert,contemporary country
DripReport,rap
Chance the Rapper,hip hop
Chance the Rapper,rap
Kranium,dancehall
Kranium,basshall
Cardi B,rap
Cardi B,pop
Carmouflage Rose,hip hop
ZHU,edm
Touch Sensitive,nu disco
Touch Sensitive,aussietronica
Treyy G,melbourne bounce international
Treyy G,melbourne bounce
Troye Sivan,pop
Fergie,pop
Duke Dumont,edm
Duke Dumont,uk dance
Duke Dumont,pop
Black Caviar,pop
Kendrick Lamar,rap
Kendrick Lamar,hip hop
Valentino Khan,edm
Valentino Khan,hip hop
Valentino Khan,moombahton
Era Istrefi,hip hop
Era Istrefi,pop
Karen Harding,edm
Karen Harding,uk dance
Karen Harding,pop
Steve Aoki,edm
Steve Aoki,pop
Missy Elliott,hip hop
Missy Elliott,hip pop
Missy Elliott,neo soul
Missy Elliott,r&b
Missy Elliott,rap
Missy Elliott,urban contemporary
Missy Elliott,pop
Trill Ryan,rap
Massari,pop
Ty Dolla $ign,hip hop
Ty Dolla $ign,r&b
Ty Dolla $ign,rap
Steve Void,edm
Riton,edm
Riton,uk dance
Riton,pop
A.CHAL,hip hop
Mr Eazi,hip hop
Mr Eazi,pop
Mr Eazi,swedish dancehall
Mr Eazi,afrobeats
Roy Woods,hip hop
Roy Woods,r&b
RAYE,pop
RAYE,r&b
Tove Lo,pop
Snakehips,uk dance
Snakehips,vapor soul
Snakehips,pop
Jonas Blue,edm
Jonas Blue,pop
Jonas Blue,uk dance
Skrillex,complextro
Skrillex,edm
Skrillex,electro
Skrillex,pop
CamelPhat,edm
CamelPhat,uk dance
CamelPhat,deep edm
Lil Uzi Vert,hip hop
Lil Uzi Vert,rap
Bag Raiders,australian dance
Bag Raiders,indie
Bag Raiders,nu disco
Bag Raiders,alternative dance
MK,chinese rap
Pitbull,hip hop
Pitbull,pop
A Great Big World,pop
A Great Big World,rock
A Great Big World,neo mellow
Carly Rae Jepsen,pop
SAYGRACE,r&b
Matt Cardle,talent show
MC Kevinho,funk ostentacao
MC Kevinho,pop
MC Kevinho,sertanejo universitario
MC Kevinho,funk carioca
Common Kings,reggae
Alicia Keys,pop
Alicia Keys,r&b
Alicia Keys,neo soul
LunchMoney Lewis,hip hop
Lorde,pop
Ismuki,pop
San Holo,edm
San Holo,future bass
San Holo,hip hop
San Holo,pop
Jax Jones,edm
Jax Jones,uk dance
Jax Jones,pop
Dimitri Vegas & Like Mike,big room
Dimitri Vegas & Like Mike,edm
Dimitri Vegas & Like Mike,pop
Dimitri Vegas & Like Mike,belgian dance
Thomas Gold,edm
Thomas Gold,pop
Thomas Gold,big room
SZA,r&b
SZA,rap
SZA,pop
JP Saxe,r&b
JP Saxe,singer-songwriter pop
JP Saxe,alt z
SLANG,japanese hardcore
Jack Harlow,rap
Jack Harlow,hip hop
Ellie Goulding,pop
Ellie Goulding,indie
PUBLIC,indie
Nicky Jam,hip hop
Nicky Jam,reggae
Nicky Jam,urbano latino
Nea,pop
Madison Beer,pop
Surfaces,bedroom soul
Sean Paul,dancehall
Sean Paul,pop
Sean Paul,rap
Ali Gatie,hip hop
Tate McRae,pop
Felly,indie
Bad Bunny,hip hop
Bad Bunny,urbano latino
Bad Bunny,reggae
Powfu,rap
Powfu,sad lo-fi
Baby Keem,rap
Baby Keem,hip hop
Lil Keed,hip hop
Lil Keed,rap
Day1,hip hop
Day1,aussie drill
J.I the Prince of N.Y,rap
Orezi,pop
Orezi,afrobeats
$tupid Young,hip hop
$tupid Young,rap
深藍,chinese singer-songwriter
深藍,indie
Julie Sue,mandopop
Julie Sue,hokkien pop
