artist_name,genres
Ty Dolla $ign,"hip hop, pop rap, r&b, southern hip hop, trap, trap soul"
Steve Void,"pop edm, slap house"
Riton,"dance pop, house, uk dance"
A.CHAL,"canadian hip hop, trap soul"
The Carters,no genres found
Mr Eazi,"afrobeats, afropop, ghanaian hip hop, nigerian pop, swedish dancehall"
Roy Woods,"canadian contemporary r&b, canadian hip hop"
CLiQ,no genres found
RAYE,"uk contemporary r&b, uk pop"
Tove Lo,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop"
Snakehips,"electropop, uk dance, vapor soul"
Jonas Blue,"dance pop, pop, tropical house, uk dance"
Skrillex,"brostep, complextro, dance pop, edm, electro"
CamelPhat,"deep tech house, house, progressive house, uk dance"
Lil Uzi Vert,"hip hop, melodic rap, philly rap, rage rap, rap, trap"
Bag Raiders,"alternative dance, australian dance, indietronica, nu disco"
MK,chinese melodic rap
Pitbull,"dance pop, miami hip hop, pop"
A Great Big World,"neo mellow, piano rock, pop rock, viral pop"
Carly Rae Jepsen,"canadian pop, dance pop, pop"
SAYGRACE,r&b
Matt Cardle,talent show
DJ Discretion,no genres found
MC Kevinho,"funk carioca, funk ostentacao, funk pop, sertanejo universitario"
Common Kings,reggae rock
Alicia Keys,"neo soul, pop, r&b"
LunchMoney Lewis,miami hip hop
Lorde,"art pop, metropopolis, nz pop, pop"
Ismuki,"melanesian pop, solomon islands pop"
San Holo,"brostep, dance pop, edm, electro house, electronic trap, future bass"
Jax Jones,"dance pop, edm, house, uk dance"
Dimitri Vegas & Like Mike,"belgian dance, belgian edm, big room, dance pop, dutch house, edm, electro house, progressive electro house"
Thomas Gold,"big room, dance pop, dutch house, edm, electro house, german techno, progressive electro house, progressive house"
SZA,"pop, r&b, rap"
JP Saxe,"alt z, canadian contemporary r&b, singer-songwriter pop"
SLANG,japanese hardcore
Jack Harlow,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap"
Adeena,no genres found
Ellie Goulding,"indietronica, metropopolis, pop, uk pop"
PUBLIC,indie rockism
Nicky Jam,"latin hip hop, reggaeton, trap latino, urbano latino"
Nea,scandipop
Madison Beer,pop
Nick De La Hoyde,no genres found
Surfaces,bedroom soul
Sean Paul,"dance pop, dancehall, pop, pop rap"
Ali Gatie,canadian hip hop
Tate McRae,pop
Felly,indie pop rap
Bad Bunny,"reggaeton, trap latino, urbano latino"
Powfu,"sad lo-fi, sad rap"
Ashe,no genres found
Baby Keem,"hip hop, rap"
Lil Keed,"melodic rap, trap"
Day1,"aussie drill, brisbane hip hop"
J.I the Prince of N.Y,nyc rap
Orezi,"afrobeats, afropop, nigerian pop"
$tupid Young,"asian american hip hop, cali rap"
深藍,"chinese indie, chinese singer-songwriter"
Julie Sue,"hokkien pop, mandopop"
康然,"anime, denpa-kei"
楊培安,mandopop
Jacob LaVallee,background piano
Pied-à-Terre,background piano
Berlioz,jazz house
Céline Aubin,no genres found
Vala Capon,no genres found
Oskar Schuster,compositional ambient
Julien Thorsen,background piano
Luke Faulkner,no genres found
Haru Kitamura,background piano
Jan Thiel,background piano
Isobel Waller-Bridge,soundtrack
Mi Soon,background piano
Thomasine Robinson,"background piano, focus"
Sufi Sheman,background piano
Kendra Logozar,"instrumental worship, neo-classical"
Germain Lesage,background piano
Kyran Martin,background piano
Olivia Belli,neo-classical
Francine Leblanc,no genres found
Giggs,"grime, london rap, uk hip hop"
Kevin Gates,"baton rouge rap, pop rap, rap, southern hip hop, trap"
Joyner Lucas,"boston hip hop, hip hop, pop rap, rap"
Tee Grizzley,"detroit hip hop, detroit trap, rap, southern hip hop, trap"
Lil Tjay,"brooklyn drill, melodic rap, nyc rap, rap"
Lil Tecca,"melodic rap, pluggnb, rap"
JACKBOYS,pop rap
Jeremih,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary"
Juice WRLD,"chicago rap, melodic rap, rap"
ZaeHD & CEO,"arkansas hip hop, viral rap"
Stan Walker,"australian talent show, nz christian, nz pop"
Blueface,"cali rap, rap, trap"
Trippie Redd,"melodic rap, rap, trap"
William Singe,"pop r&b, teen pop"
Aminé,"pop rap, portland hip hop, rap, underground hip hop"
Polo G,"chicago rap, rap"
Kehlani,"pop, r&b, rap"
Metro Boomin,rap
YoungBoy Never Broke Again,"baton rouge rap, rap"
Jovem Dex,"trap baiano, trap brasileiro"
Paty Cantú,"cantautora mexicana, latin arena pop, latin pop, mexican pop"
Río Roma,"latin arena pop, latin pop, latin viral pop, mexican pop"
Gloria Estefan,"new wave pop, soft rock"
Ximena Sariñana,"cantautora mexicana, latin alternative, latin pop, mexican pop, mexican rock"
Barney,"cartoon, children's music"
Mau y Ricky,"latin pop, pop venezolano, reggaeton, urbano latino"
24kGoldn,"cali rap, pop rap"
Gooney Jib,no genres found
Rebour,focus
Kari Bin,focus
Matisse,"latin arena pop, latin pop, mexican pop"
Enrique Iglesias,"dance pop, latin pop, mexican pop"
Alvaro Soler,latin pop
Jennifer Lopez,"dance pop, pop, urban contemporary"
Deep Jandu,"desi hip hop, punjabi hip hop, punjabi pop"
David Guetta,"big room, dance pop, edm, pop"
Loveboi,no genres found
Chimbala,"dembow, rap dominicano"
mgk,"ohio hip hop, pop rap"
Trunk Boiz,"cali rap, hyphy, oakland hip hop"
Silkk The Shocker,"dirty south rap, new orleans rap"
NLE Choppa,"memphis hip hop, rap"
D Smoke,conscious hip hop
Hooligan Hefs,"aussie drill, australian trap"
Jhené Aiko,r&b
Big Sean,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap"
Kaash Paige,contemporary r&b
Outlandish,no genres found
iann dior,melodic rap
JayDaYoungan,"florida drill, melodic rap, southern hip hop"
胡歌,mainland mandopop
劉詩詩,chinese drama ost
MarMar Oso,pop r&b
Dennis Lloyd,israeli pop
Aqua,"j-pop, j-poprock, j-rock"
Luh Kel,"pop r&b, st louis rap"
Summer Walker,"r&b, rap"
Sebastian Yatra,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino"
CNCO,"boy band, latin pop, reggaeton, urbano latino"
TINI,"latin pop, latin viral pop, pop argentino"
Camilo,"colombian pop, latin pop, latin viral pop, reggaeton colombiano, urbano latino"
Elva Hsiao,mandopop
卓文萱,mandopop
Lara Liang,mandopop
Fahrenheit,thai rock
THE SCOTTS,no genres found
Da Mouth,mandopop
Gucci Mane,"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
NAV,"canadian hip hop, canadian trap, melodic rap, rap, trap"
88GLAM,"canadian hip hop, canadian trap, melodic rap"
Quando Rondo,"melodic rap, trap"
Keyshia Cole,"hip pop, r&b, urban contemporary"
K CAMP,"atl hip hop, melodic rap, southern hip hop, trap"
YNW Melly,"melodic rap, rap"
A Boogie Wit da Hoodie,"melodic rap, rap, trap"
